taxonKey,scientificName,n_occurrences_natura,n_sites,n_ms,year_min,year_max,n_years,temporal_span,temporal_completeness
4408970,"Pyrrhula murina Godman, 1866",4343,3,1,1857,2023,21,166,0.12574850299401197
4409007,"Parus ater cypriotes Dresser, 1888",3,1,1,1955,1960,3,5,0.5
4409046,"Tetrao bonasia Linnaeus, 1758",3,3,1,2005,2009,2,4,0.4
4409105,"Cygnus bewickii Yarrell, 1830",122,35,5,1997,2024,22,27,0.7857142857142857
4847282,"Calonectris borealis (Forster, 1772)",3680,155,6,1999,2025,27,26,1.0
5227692,"Lagopus muta helvetica (Thienemann, 1829)",1152,29,4,1979,2025,20,46,0.425531914893617
5227710,"Lagopus muta pyrenaica E.Hartert, 1921",14,6,2,2011,2012,2,1,1.0
5228024,"Alectoris barbara koenigi (Reichenow, 1899)",568,59,1,1984,2025,24,41,0.5714285714285714
5228228,"Tetrax tetrax (Linnaeus, 1758)",19104,125,11,1840,2025,67,185,0.3602150537634409
5228644,"Apus caffer (M.H.K.Lichtenstein, 1823)",497,34,5,1985,2025,23,40,0.5609756097560976
5228829,"Dryocopus martius martius (Linnaeus, 1758)",13,11,6,2014,2025,5,11,0.4166666666666667
5229126,"Himantopus himantopus (Linnaeus, 1758)",106122,1264,25,1900,2025,72,125,0.5714285714285714
5229142,"Vanellus spinosus (Linnaeus, 1758)",2539,42,5,1972,2025,26,53,0.48148148148148145
5229165,"Aegypius monachus (Linnaeus, 1766)",9499,273,13,1926,2025,40,99,0.4
5229167,"Milvus migrans (Boddaert, 1783)",111378,3282,26,1901,2025,74,124,0.592
5229168,"Milvus milvus (Linnaeus, 1758)",169399,4619,24,1877,2025,85,148,0.5704697986577181
5229183,"Aquila heliaca adalberti C.L.Brehm, 1861",2,1,1,2016,2016,1,0,1.0
5229215,"Sterna albifrons Pallas, 1764",695,44,7,1961,2024,30,63,0.46875
5229221,"Sterna caspia Pallas, 1770",141,34,8,1995,2023,22,28,0.7586206896551724
5229223,"Sterna sandvicensis Latham, 1787",3726,149,13,1981,2024,41,43,0.9318181818181818
5229230,"Sterna paradisaea Pontoppidan, 1763",107996,1217,19,1874,2025,89,151,0.5855263157894737
5229240,"Sterna nilotica J.F.Gmelin, 1789",38,8,2,2001,2023,4,22,0.17391304347826086
5229249,"Sterna dougallii Montagu, 1813",300,69,7,1949,2025,33,76,0.42857142857142855
5229360,"Puffinus mauretanicus Lowe, 1921",2978,153,5,1971,2025,41,54,0.7454545454545455
5229377,"Puffinus yelkouan (Acerbi, 1827)",6282,258,9,1931,2025,50,94,0.5263157894736842
5229387,"Philomachus pugnax (Linnaeus, 1758)",6236,192,11,1900,2025,43,125,0.3412698412698413
5231233,"Oenanthe pleschanka (Lepechin, 1770)",1899,72,12,1978,2025,32,47,0.6666666666666666
5231234,"Oenanthe cypriaca (Homeyer, 1884)",1899,35,1,1987,2025,25,38,0.6410256410256411
5231236,"Oenanthe leucura (Gmelin, 1789)",2318,149,3,1969,2025,29,56,0.5087719298245614
5232162,"Glaucidium passerinum (Linnaeus, 1758)",9147,1115,18,1953,2025,72,72,0.9863013698630136
5232163,"Glaucidium passerinum passerinum (Linnaeus, 1758)",2,2,2,2015,2025,2,10,0.18181818181818182
5232431,"Polysticta stelleri (Pallas, 1769)",6177,125,5,1894,2025,60,131,0.45454545454545453
5232451,"Branta ruficollis (Pallas, 1769)",10154,407,18,1974,2025,46,51,0.8846153846153846
5232464,"Branta leucopsis (Bechstein, 1803)",250367,1944,23,1923,2025,69,102,0.6699029126213593
5739275,"Puffinus assimilis Gould, 1838",4,3,2,2000,2015,3,15,0.1875
5739284,"Porphyrio poliocephalus (Latham, 1801)",5,2,1,1982,2024,2,42,0.046511627906976744
5739290,"Phalaropus lobatus (Linnaeus, 1758)",25475,632,23,1927,2025,71,98,0.7171717171717171
5739298,"Aegolius funereus (Linnaeus, 1758)",8381,789,17,1896,2025,72,129,0.5538461538461539
5793207,"Himantopus himantopus himantopus (Linnaeus, 1758)",8,4,1,1925,2009,3,84,0.03529411764705882
5793216,"Sterna hirundo longipennis Nordmann, 1835",5,5,1,2018,2024,3,6,0.42857142857142855
5844346,"Falco peregrinus brookei Sharpe, 1873",87,52,6,2000,2025,15,25,0.5769230769230769
5844403,"Buteo rufinus cirtensis (J.Levaillant, 1850)",31,11,3,1998,2025,13,27,0.4642857142857143
5844429,"Aquila chrysaetos homeyeri Severtzov, 1888",30,23,2,2007,2024,6,17,0.3333333333333333
5844449,"Aquila fasciata Vieillot, 1822",9295,290,11,1969,2025,45,56,0.7894736842105263
5844457,"Neophron percnopterus majorensis Donazar, Negro, Palacios, Gangoso, Godoy, Ceballos, Hiraldo & Capote, 2002",877,24,1,1996,2025,25,29,0.8333333333333334
5844461,"Milvus migrans lineatus (J.E.Gray, 1831)",1,1,1,2012,2012,1,0,1.0
5844463,"Milvus migrans parasitus Grant & Mackworth-Praed, 1933",11,3,2,2021,2024,2,3,0.5
5844465,"Milvus milvus fasciicauda Hartert, 1914",2,2,1,2023,2023,1,0,1.0
5844831,"Periparus ater cypriotes (Dresser, 1888)",693,11,1,1994,2025,17,31,0.53125
5959092,"Bubo bubo (Linnaeus, 1758)",8098,917,20,1887,2025,57,138,0.41007194244604317
5959103,"Bubo bubo hispanus Rothschild & Hartert, 1910",15,9,1,2021,2024,4,3,1.0
5959143,"Bubo scandiacus (Linnaeus, 1758)",668,89,9,1875,2023,41,148,0.2751677852348993
6065620,"Pterocles alchata alchata (Linnaeus, 1766)",9,7,2,2015,2022,5,7,0.625
6065721,"Uria aalge albionis Witherby, 1923",30,15,5,1909,2023,12,114,0.10434782608695652
6065802,"Chlidonias hybrida hybrida (Pallas, 1811)",75,11,6,2014,2024,8,10,0.7272727272727273
6065806,"Chlidonias niger surinamensis (J.F.Gmelin, 1789)",6,4,3,2019,2021,2,2,0.6666666666666666
6065810,"Chroicocephalus genei (Brème, 1839)",24415,231,13,1948,2025,62,77,0.7948717948717948
6065841,"Hydrocoloeus minutus (Pallas, 1776)",109062,1505,26,1923,2025,80,102,0.7766990291262136
6066044,"Burhinus oedicnemus insularum (Sassi, 1908)",297,20,1,2000,2025,18,25,0.6923076923076923
6066045,"Burhinus oedicnemus saharae (Reichenow, 1894)",14,5,3,2018,2024,4,6,0.5714285714285714
6066048,"Burhinus oedicnemus distinctus (Bannerman, 1914)",10,5,1,2015,2023,7,8,0.7777777777777778
6066518,"Microcarbo pygmeus (Pallas, 1773)",110,12,2,2009,2025,14,16,0.8235294117647058
6087055,"Lullula arborea pallida Zarudny, 1902",8,8,3,2010,2024,7,14,0.4666666666666667
6090358,"Luscinia svecica namnetum Mayaud, 1934",480,8,3,2010,2024,8,14,0.5333333333333333
6090361,"Luscinia svecica cyanecula (Meisner, 1804)",12871,312,15,1968,2025,36,57,0.6206896551724138
6092508,"Pyrrhocorax pyrrhocorax docilis (S.G.Gmelin, 1774)",4,3,1,2014,2022,3,8,0.3333333333333333
6092524,"Pyrrhocorax pyrrhocorax barbarus Vaurie, 1954",204,20,1,1996,2025,20,29,0.6666666666666666
6100917,"Sylvia ruppeli Temminck, 1823",31,18,3,1987,2025,16,38,0.41025641025641024
6101147,"Porphyrio madagascariensis (Latham, 1801)",2,2,1,2022,2022,1,0,1.0
6101217,"Circus hudsonius (Linnaeus, 1766)",473,6,3,2022,2025,3,3,0.75
6175311,"Bucanetes githagineus zedlitzi (Neumann, 1907)",2,1,1,2023,2023,1,0,1.0
6175312,"Bucanetes githagineus amantum (Hartert, 1903)",339,24,1,2009,2025,15,16,0.8823529411764706
6175313,"Bucanetes githagineus crassirostris (Blyth, 1847)",2,2,1,2014,2014,1,0,1.0
6175538,"Fringilla coelebs ombriosa Hartert, 1913",28,3,1,1982,2025,3,43,0.06818181818181818
6175597,"Luscinia svecica svecica (Linnaeus, 1758)",546,114,9,1971,2025,39,54,0.7090909090909091
6175765,"Alcedo atthis ispida Linnaeus, 1758",76,42,12,1924,2025,12,101,0.11764705882352941
6176011,"Strix uralensis macroura Wolf, 1810",4,3,3,2020,2023,4,3,1.0
6176345,"Caprimulgus europaeus meridionalis Hartert, 1896",3,2,2,2019,2022,2,3,0.5
6176757,"Porzana pusilla intermedia (Hermann, 1804)",1,1,1,1900,1900,1,0,1.0
6176777,"Grus grus grus (Linnaeus, 1758)",4,4,2,2016,2022,3,6,0.42857142857142855
6176790,"Chlamydotis undulata fuertaventurae (Rothschild & Hartert, 1894)",45,8,1,2000,2023,13,23,0.5416666666666666
6177243,"Dendrocopos leucotos lilfordi (Sharpe & Dresser, 1871)",81,20,7,2011,2025,15,14,1.0
6177279,"Dendrocopos major thanneri le Roi, 1911",445,19,1,2008,2025,16,17,0.8888888888888888
6177296,"Dendrocopos major canariensis (A.F.Koenig, 1889)",1668,14,1,1988,2025,27,37,0.7105263157894737
6177491,"Picoides tridactylus alpinus C.L.Brehm, 1831",14,8,4,1997,2024,8,27,0.2857142857142857
6177492,"Picoides tridactylus tianschanicus Buturlin, 1907",1,1,1,2005,2005,1,0,1.0
6177960,"Calidris alpina schinzii (C.L.Brehm & Schilling, 1822)",3348,108,6,1899,2025,69,126,0.5433070866141733
6177976,"Falco peregrinus tundrius C.M.White, 1968",1,1,1,2011,2011,1,0,1.0
6177986,"Falco columbarius aesalon Tunstall, 1771",9,8,3,1904,2022,6,118,0.05042016806722689
