taxonKey,scientificName,n_occurrences_natura,n_sites,n_ms,year_min,year_max,n_years,temporal_span,temporal_completeness
3595820,Halimium umbellatum subsp. viscosum (Willk.) O.Bolòs & Vigo,336,69,2,1978,2024,34,46,0.723404255319149
3595906,Cistus palhinhae N.D.Ingram,48,4,1,2001,2025,13,24,0.52
3596008,Cistus chinamadensis subsp. gomerae Bañares & P.Romero,2,1,1,2019,2020,2,1,1.0
3596384,Cistus umbellatus subsp. viscosus (Willk.) Demoly,105,22,3,2000,2025,22,25,0.8461538461538461
3596509,Helianthemum bystropogophyllum Svent.,13,1,1,,,0,,
3601124,Papaver laestadianum (Nordh.) Nordh.,114,1,1,1980,2025,18,45,0.391304347826087
3606863,Vandenboschia speciosa (Willd.) G.Kunkel,304,53,7,1978,2025,25,47,0.5208333333333334
3614259,Paeonia clusii subsp. rhodia (Stearn) Tzanoud.,26,2,1,1997,2024,9,27,0.32142857142857145
3614303,Paeonia mascula subsp. cambessedesii (Willk.) O.Bolòs & Vigo,2,1,1,2004,2005,2,1,1.0
3614311,Paeonia cambessedesii (Willk.) Willk.,43,13,1,1949,2025,20,76,0.2597402597402597
3630000,Laserpitium longiradium Boiss.,12,1,1,1996,1998,3,2,1.0
3630648,Seseli leucospermum Waldst. & Kit.,1,1,1,2019,2019,1,0,1.0
3630865,Seseli intricatum Boiss.,861,2,1,1996,2020,2,24,0.08
3631604,Melanoselinum decipiens (Schrad. & J.C.Wendl.) Hoffm.,46,3,1,2004,2024,8,20,0.38095238095238093
3631681,Ammi trifoliatum (H.C.Watson) Trel.,1026,15,1,1998,2025,10,27,0.35714285714285715
3633638,Caropsis verticillatoinundata (Thore) Rauschert,2,2,1,2013,2018,2,5,0.3333333333333333
3633778,Eryngium alpinum L.,1050,85,7,1907,2025,43,118,0.36134453781512604
3633804,Petagnaea gussonei (Spreng.) Rauschert,2,2,1,2024,2024,1,0,1.0
3637114,Ostericum palustre (Besser) Besser,15,14,3,2011,2024,7,13,0.5
3637808,Ferula latipinna A.Santos,12,3,1,2020,2025,4,5,0.6666666666666666
3638275,Bupleurum kakiskalae Greuter,2,2,1,2004,2004,1,0,1.0
3639640,Bupleurum capillare Boiss. & Heldr.,2,2,1,1856,1856,1,0,1.0
3639728,Sanicula azorica Guthnick ex Seub.,1266,6,1,1844,2025,17,181,0.09340659340659341
3640131,Rouya polygama (Desf.) Coincy,105,5,1,1858,2023,17,165,0.10240963855421686
3641026,Eryngium viviparum J.Gay,20,8,1,2006,2019,6,13,0.42857142857142855
3642167,Bunium brevifolium Lowe,21,2,1,2004,2004,1,0,1.0
3642488,Chaerophyllum azoricum Trel.,618,6,1,1897,2024,12,127,0.09375
3659152,Ophioglossum polyphyllum A.Braun ex Seubert,84,10,1,2007,2025,7,18,0.3684210526315789
3677070,Convolvulus argyrothamnos Greuter,1,1,1,,,0,,
3679523,Convolvulus fernandesii P.Silva & Teles,33,2,1,2003,2025,6,22,0.2608695652173913
3681152,Convolvulus caput-medusae Lowe,20,4,1,2000,2025,7,25,0.2692307692307692
3687470,Noccaea montana subsp. villarsiana (Jord.) Kerguélen,336,4,1,1991,2017,17,26,0.6296296296296297
3687727,Noccaea caerulescens subsp. virens (Jord.) Kerguélen,75,18,1,1872,2025,31,153,0.2012987012987013
3687838,Nevadensia purpurea (Lag. & Rodr.) Rivas Mart.,5,1,1,1976,2018,5,42,0.11627906976744186
3687892,Draba × lattinicciae Gamisans,2,2,1,1970,1970,1,0,1.0
3687905,Draba lasiocarpa subsp. klasterskyi (Chrtek) Chrtek,4,2,1,1985,1989,2,4,0.4
3688002,Biscutella vicentina (Samp.) Rothm. ex Guinea,36,2,1,2007,2023,4,16,0.23529411764705882
3688046,Biscutella varia Dumort.,2,2,1,1885,1955,2,70,0.028169014084507043
3688078,Draba laconica Stevan. & Kit Tan,2,2,1,2005,2005,1,0,1.0
3688165,Kandis perfoliata (L.) Kerguélen,21,8,1,2008,2012,4,4,0.8
3688289,Biscutella stenophylla subsp. leptophylla (Pau) Mateo & M.B.Crespo,90,6,1,1995,2021,17,26,0.6296296296296297
3688364,Biscutella saxatilis Schleich. ex DC.,2,1,1,1844,1848,2,4,0.4
3688393,Biscutella riberensis (O.Bolòs & Masclans) Mateo & M.B.Crespo,101,14,1,1985,2023,20,38,0.5128205128205128
3688425,Noccaea alpestris (Jacq.) Kerguélen,8,4,2,2008,2021,6,13,0.42857142857142855
3688431,Noccaea alpestris subsp. sylvium (Gaudin) Kerguélen,23,5,1,1956,2022,9,66,0.13432835820895522
3688538,Biscutella minor Jord.,18,3,1,2001,2010,3,9,0.3
3688553,"Biscutella megacarpea subsp. variegata (Boiss. & Reut.) Hern.-Berm. & Clem.-Muñoz, 1986",1,1,1,1992,1992,1,0,1.0
3688577,"Biscutella marinae M.B.Crespo, Mateo & Solanas",41,2,1,1992,2018,10,26,0.37037037037037035
3688589,Biscutella maestratensis Mateo & M.B.Crespo,681,25,1,1981,2023,32,42,0.7441860465116279
3688736,Biscutella laevigata subsp. varia (Dumort.) Rouy & Foucaud,48,15,4,1881,2021,20,140,0.14184397163120568
3688737,Biscutella laevigata subsp. scaposa (Sennen ex Mach.-Laur.) Romo,6,6,1,1998,2004,3,6,0.42857142857142855
